Term,Artist,Song,Album,Release Date
short_term,Asking Alexandria,Alone In A Room,Asking Alexandria,2017-12-15
short_term,Billie Eilish,Male Fantasy,Happier Than Ever,2021-07-30
short_term,Nickelback,Animals,All the Right Reasons (Special Edition),2005-09-26
short_term,Billie Eilish,Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),2017-01-13
short_term,First and Forever,Sick Little Games,Sick Little Games,2021-10-08
short_term,lovelytheband,broken,finding it hard to smile,2018-08-03
short_term,Linkin Park,Numb,Meteora,2003-09-16
short_term,5 Seconds of Summer,Jet Black Heart,Sounds Good Feels Good (Deluxe),2015-10-23
short_term,Thirty Seconds To Mars,The Kill,A Beautiful Lie,2005-01-01
short_term,Bad Omens,The Worst In Me,Bad Omens,2016-08-19
short_term,Sum 41,Still Waiting,Does This Look Infected?,2002-01-01
short_term,Nickelback,Photograph,All the Right Reasons,2005-09-26
short_term,Halsey,Alone,hopeless fountain kingdom (Deluxe),2017-06-02
short_term,5 Seconds of Summer,Old Me,CALM,2020-03-27
short_term,Stevie Wonder,For Once In My Life,For Once In My Life,1968-12-01
short_term,Post Malone,Better Now,beerbongs & bentleys,2018-04-27
short_term,COIN,Talk Too Much,How Will You Know If You Never Try,2017-04-21
short_term,The Snuts,Knuckles,Burn The Empire,2022-09-30
short_term,All Time Low,A Love Like War (feat. Vic Fuentes),Don't Panic: It's Longer Now!,2013-09-30
short_term,All Time Low,Sleepwalking,Tell Me I'm Alive,2023-03-17
short_term,5 Seconds of Summer,She Looks So Perfect,5 Seconds Of Summer,2014-06-27
short_term,The Killers,Somebody Told Me,Hot Fuss,2004
short_term,Halsey,Die 4 Me,Die 4 Me,2023-02-24
short_term,Billie Eilish,Halley's Comet,Happier Than Ever,2021-07-30
short_term,Fountains Of Wayne,Stacy's Mom,Welcome Interstate Managers,2003-01-01
short_term,Billie Eilish,ocean eyes,Ocean Eyes,2016-11-18
short_term,Catfish and the Bottlemen,Sidewinder,The Balcony,2014-09-15
short_term,Two Door Cinema Club,I Can Talk,Tourist History,2010-02-17
short_term,5 Seconds of Summer,Ghost Of You,Youngblood (Deluxe),2018-06-15
short_term,Halsey,Bad At Love,hopeless fountain kingdom (Deluxe),2017-06-02
short_term,The Kid LAROI,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,2021-07-27
short_term,5 Seconds of Summer,COMPLETE MESS,5SOS5,2022-09-23
short_term,Billie Eilish,lovely (with Khalid),lovely (with Khalid),2018-04-19
short_term,Billie Eilish,I Didn't Change My Number,Happier Than Ever,2021-07-30
short_term,5 Seconds of Summer,Lie To Me,Youngblood (Deluxe),2018-06-15
short_term,5 Seconds of Summer,CAROUSEL,5SOS5,2022-09-23
short_term,The Warning,MORE,MORE,2023-05-12
short_term,NF,Let You Down,Perception,2017-10-06
short_term,Catfish and the Bottlemen,Cocoon,The Balcony,2014-09-15
short_term,The Agonist,Take Me to Church,Five,2016-09-30
short_term,The Chainsmokers,Who Do You Love,World War Joy,2019-12-06
short_term,Green Day,Holiday,Greatest Hits: God's Favorite Band,2017-11-17
short_term,The Snuts,Always,W.L. (Deluxe),2021-04-02
short_term,The Snuts,Seasons,Seasons,2018-06-22
short_term,Billie Eilish,bellyache,Bellyache,2017-02-24
short_term,5 Seconds of Summer,You Don’t Go To Parties,5SOS5,2022-09-23
short_term,Billie Eilish,Lost Cause,Happier Than Ever,2021-07-30
short_term,Catfish and the Bottlemen,Kathleen,The Balcony,2014-09-15
short_term,Hozier,To Noise Making (Sing),"Wasteland, Baby!",2019-03-01
short_term,The Neighbourhood,Afraid,I Love You.,2013-04-19
short_term,5 Seconds of Summer,She's Kinda Hot,Sounds Good Feels Good (Deluxe),2015-10-23
short_term,The Academic,Why Can't We Be Friends?,Tales from the Backseat,2018-01-12
short_term,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)","Signed, Sealed And Delivered",1970-08-07
short_term,The Academic,Thought I Told You,Loose Friends,2015-10-30
short_term,Muni Long,Hrs & Hrs,Public Displays Of Affection: The Album,2022-09-23
short_term,Sum 41,In Too Deep,"All Killer, No Filler",2001-01-01
short_term,5 Seconds of Summer,Me Myself & I,5SOS5,2022-09-23
short_term,John Mayer,I Don't Trust Myself (With Loving You),Continuum,2006-09-11
short_term,Catfish and the Bottlemen,2all,The Balance,2019-04-26
short_term,Billie Eilish,Oxytocin,Happier Than Ever,2021-07-30
short_term,Drake,Virginia Beach,For All The Dogs,2023-10-06
short_term,Reba McEntire,I'm A Survivor,Greatest Hits Volume III - I'm A Survivor,2001-10-23
short_term,Pierce The Veil,Pass The Nirvana,The Jaws Of Life,2023-02-10
short_term,DON BROCO,Nerve,Automatic,2016-11-11
short_term,Greta Van Fleet,Meeting The Master,Starcatcher,2023-07-21
short_term,KALEO,All the Pretty Girls,A/B,2016-06-10
short_term,Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
short_term,Hozier,Damage Gets Done (feat. Brandi Carlile),Unreal Unearth,2023-08-18
short_term,John Mayer,Slow Dancing in a Burning Room,Continuum,2006-09-11
short_term,Billie Eilish,Therefore I Am,Therefore I Am,2020-11-12
short_term,J. Cole,Crooked Smile (feat. TLC),Born Sinner (Deluxe Version),2013-06-18
short_term,5 Seconds of Summer,Caramel,5SOS5,2022-09-23
short_term,The Snuts,Glasgow,W.L. (Deluxe),2021-04-02
short_term,Catfish and the Bottlemen,Fallout,The Balcony,2014-09-15
short_term,Two Door Cinema Club,Something Good Can Work,Tourist History,2010-02-17
short_term,Billie Eilish,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
short_term,Stevie Wonder,Sir Duke,Songs In The Key Of Life,1976-09-28
short_term,Halsey,Without Me,Manic,2020-01-17
short_term,Two Door Cinema Club,What You Know,Tourist History,2010-02-17
short_term,Miley Cyrus,Jaded,Endless Summer Vacation,2023-08-18
short_term,The Academic,AFTERTASTE,AFTERTASTE,2019-09-13
short_term,The Academic,Different,Loose Friends,2015-10-30
short_term,The Academic,Fake ID,Tales from the Backseat,2018-01-12
short_term,Hozier,Almost (Sweet Music),"Wasteland, Baby!",2019-03-01
short_term,Catfish and the Bottlemen,7,The Ride,2016-05-27
short_term,Stevie Wonder,I Just Called To Say I Love You,At The Close Of A Century,1999-11-23
short_term,The Academic,Bear Claws,Tales from the Backseat,2018-01-12
short_term,The Academic,Bite My Tongue,Tales from the Backseat,2018-01-12
short_term,Stevie Wonder,Living For The City,The Definitive Collection,2002-10-29
short_term,Creed,One Last Breath,Weathered,2001-01-01
short_term,NF,Lie,Perception,2017-10-06
short_term,Creed,My Sacrifice,Weathered,2001-01-01
short_term,Catfish and the Bottlemen,Fluctuate,The Balance,2019-04-26
short_term,The Academic,Chasers,Loose Friends,2015-10-30
short_term,Logic,Under Pressure,Under Pressure (Deluxe),2014-10-21
short_term,Miley Cyrus,Used To Be Young,Used To Be Young,2023-08-25
short_term,Catfish and the Bottlemen,Oxygen,The Ride,2016-05-27
short_term,John Mayer,Belief,Continuum,2006-09-11
short_term,Catfish and the Bottlemen,Emily,The Ride,2016-05-27
short_term,Yellowcard,"For You, And Your Denial","When You're Through Thinking, Say Yes",2011-03-22
short_term,Taylor Swift,Cruel Summer,Lover,2019-08-23
short_term,Tate McRae,greedy,greedy,2023-09-15
short_term,Conan Gray,Maniac,Kid Krow,2020-03-20
short_term,Stevie Wonder,Higher Ground,Innervisions,1973-08-03
short_term,Taylor Swift,Delicate,reputation,2017-11-10
short_term,All Time Low,"Dear Maria, Count Me In","So Wrong, It's Right",2007-09-25
short_term,Stevie Wonder,Uptight (Everything's Alright),Up-Tight,1966-05-01
short_term,The Weeknd,Blinding Lights,After Hours,2020-03-20
short_term,Stevie Wonder,Superstition - Single Version,The Definitive Collection,2002-10-29
short_term,John Mayer,Gravity,Continuum,2006-09-11
short_term,Berhana,Janet,Berhana,2016-07-21
short_term,Hozier,First Time,Unreal Unearth,2023-08-18
short_term,Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",2012
short_term,Catfish and the Bottlemen,Hourglass,The Balcony,2014-09-15
short_term,Billie Eilish,all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
short_term,Stevie Wonder,Isn't She Lovely,Songs In The Key Of Life,1976-09-28
short_term,Dance Gavin Dance,Death of a Strawberry,Instant Gratification,2015-04-14
short_term,Every Avenue,Tell Me I'm A Wreck,Picture Perfect,2009-11-03
short_term,The Weeknd,The Hills,Beauty Behind The Madness,2015-08-28
short_term,Young the Giant,The Walk Home,American Bollywood,2022-11-16
short_term,Billie Eilish,you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
short_term,Death Cab for Cutie,I Will Follow You into the Dark,Plans,2005-08-29
short_term,John Mayer,The Heart of Life,Continuum,2006-09-11
short_term,Doja Cat,Agora Hills,Scarlet,2023-09-22
short_term,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,2019-09-06
short_term,Tate McRae,you broke me first,TOO YOUNG TO BE SAD,2021-03-26
short_term,Noah Cyrus,I Burned LA Down - Choral Version,The Hardest Part (Deluxe),2022-12-02
short_term,Billie Eilish,Billie Bossa Nova,Happier Than Ever,2021-07-30
short_term,Stevie Wonder,Overjoyed,In Square Circle,1985-09-13
short_term,Catfish and the Bottlemen,Rango,The Balcony,2014-09-15
short_term,John Mayer,Stop This Train,Continuum,2006-09-11
short_term,Miley Cyrus,Used To Be Young,Endless Summer Vacation,2023-08-18
short_term,Stevie Wonder,Superstition,Talking Book,1972-10-28
short_term,The Academic,Mixtape 2003,Mixtape 2003,2016-08-19
short_term,Young the Giant,Simplify,Mirror Master,2018-10-12
short_term,The Black Crowes,Jealous Again,Shake Your Money Maker,1990-02-13
short_term,Kenya Grace,Strangers,Strangers,2023-09-01
short_term,Paramore,Fake Happy,After Laughter,2017-05-12
short_term,Billie Eilish,No Time To Die,No Time To Die,2020-02-13
short_term,5 Seconds of Summer,Want You Back,Youngblood (Deluxe),2018-06-15
short_term,Noah Cyrus,July,THE END OF EVERYTHING,2020-05-15
short_term,Halsey,Young God,BADLANDS (Deluxe),2015-08-28
short_term,All Time Low,Monsters (feat. blackbear),"Wake Up, Sunshine",2020-04-03
short_term,The Kid LAROI,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,2021-07-27
short_term,Eagles,Tequila Sunrise - 2013 Remaster,Desperado (2013 Remaster),1973-04-17
short_term,Greta Van Fleet,Black Smoke Rising,From The Fires,2017-11-10
short_term,Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021-06-25
short_term,John Mayer,Bold as Love,Continuum,2006-09-11
short_term,Fleetwood Mac,The Chain - 2004 Remaster,Rumours (Super Deluxe),1977-02-04
short_term,Fleetwood Mac,Landslide,Fleetwood Mac,1975-07-11
short_term,Cuco,Amor de Siempre,wannabewithu,2016-07-09
short_term,Glass Animals,Heat Waves,Dreamland,2020-08-07
short_term,Greta Van Fleet,You're The One,Anthem Of The Peaceful Army,2018-10-19
short_term,Pierce The Veil,King For A Day,Collide With The Sky,2012-07-17
short_term,John Mayer,Vultures,Continuum,2006-09-11
short_term,Young the Giant,Cult of Personality,American Bollywood,2022-11-16
short_term,The Temptations,"Hold On, I'm Comin'",Back To Front,2007-01-01
short_term,Hozier,Unknown / Nth,Unreal Unearth,2023-08-18
short_term,Panic! At The Disco,High Hopes,Pray for the Wicked,2018-06-22
short_term,JID,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),2022-10-31
short_term,Post Malone,Circles,Hollywood's Bleeding,2019-09-06
short_term,Hozier,Eat Your Young,Unreal Unearth,2023-08-18
short_term,Paramore,Hallelujah,Riot!,2007-06-11
short_term,Chappell Roan,Casual,The Rise and Fall of a Midwest Princess,2023-09-22
short_term,Noah Cyrus,For Once In My Life,For Once In My Life,2020-07-15
short_term,Young the Giant,Mr. Know-It-All,Home of the Strange,2016-08-12
short_term,The Black Crowes,Twice As Hard,Shake Your Money Maker,1990-02-13
short_term,Jack Harlow,Lovin On Me,Lovin On Me,2023-11-10
short_term,Hozier,Abstract (Psychopomp),Unreal Unearth,2023-08-18
short_term,Hozier,All Things End,Unreal Unearth,2023-08-18
short_term,All Time Low,Painting Flowers,Painting Flowers,2011-11-15
short_term,Death Cab for Cutie,Soul Meets Body,Plans,2005-08-29
short_term,Kendrick Lamar,LOVE. FEAT. ZACARI.,DAMN.,2017-04-14
short_term,Young the Giant,Mind Over Matter (Reprise),Mirrorball / Mind Over Matter (Reprise),2015-04-18
short_term,John Mayer,In the Blood,The Search for Everything,2017-04-14
short_term,Young the Giant,Repeat,Home of the Strange,2016-08-12
short_term,Miley Cyrus,Angels Like You,Plastic Hearts,2020-11-27
short_term,Daughtry,Over You,Daughtry (Deluxe Edition),2006
short_term,Catfish and the Bottlemen,Anything,The Ride,2016-05-27
short_term,Paramore,Misery Business,Riot!,2007-06-11
short_term,Death Cab for Cutie,The Ghosts of Beverly Drive,Kintsugi,2015-03-27
short_term,Sadie Hawkins,The Way You Break My Heart,The Way You Break My Heart,2019-06-14
short_term,The Black Crowes,Hard To Handle,Shake Your Money Maker,1990-02-13
short_term,The Black Crowes,Remedy,The Southern Harmony And Musical Companion,1992-05-12
short_term,Doja Cat,Paint The Town Red,Paint The Town Red,2023-08-04
short_term,Taylor Swift,illicit affairs,folklore,2020-07-24
short_term,Halsey,Heaven In Hiding,hopeless fountain kingdom (Deluxe),2017-06-02
short_term,Dua Lipa,Houdini,Houdini,2023-11-09
short_term,Halsey,Hold Me Down,BADLANDS (Deluxe),2015-08-28
short_term,The Black Crowes,She Talks To Angels,Shake Your Money Maker,1990-02-13
short_term,Logic,1-800-273-8255,Everybody,2017-05-05
short_term,Catfish and the Bottlemen,Homesick,The Balcony,2014-09-15
short_term,Daughtry,It's Not Over,Daughtry (Deluxe Edition),2006
short_term,Finger Eleven,Paralyzer,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01
short_term,The Snuts,Hallelujah Moment,Burn The Empire,2022-09-30
short_term,Halsey,Graveyard,Manic,2020-01-17
short_term,Miley Cyrus,Party In The U.S.A.,The Time Of Our Lives,2009-01-01
short_term,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),Lie To Me (feat. Julia Michaels),2018-12-21
short_term,Dance Gavin Dance,Son of Robot,Artificial Selection,2018-06-08
short_term,The xx,Intro,xx,2009-08-18
short_term,Post Malone,Wow.,Hollywood's Bleeding,2019-09-06
short_term,Bad Omens,Nowhere To Go,THE DEATH OF PEACE OF MIND,2022-02-25
short_term,5 Seconds of Summer,Easier,CALM,2020-03-27
short_term,Halsey,Ghost,BADLANDS (Deluxe),2015-08-28
short_term,The Weeknd,Starboy,Starboy,2016-11-25
short_term,Halsey,Now Or Never,hopeless fountain kingdom (Deluxe),2017-06-02
short_term,Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]",2017-09-14
short_term,John Mayer,I Will Be Found (Lost At Sea),Paradise Valley,2013-08-20
short_term,Hozier,Shrike,"Wasteland, Baby!",2019-03-01
short_term,Noah Cyrus,I Burned LA Down,The Hardest Part (Deluxe),2022-12-02
short_term,My Chemical Romance,Mama,The Black Parade,2006-10-23
short_term,John Mayer,I'm Gonna Find Another You,Continuum,2006-09-11
short_term,Chappell Roan,Red Wine Supernova,Red Wine Supernova,2023-05-17
short_term,Hozier,Someone New,Hozier,2014-10-07
short_term,Conan Gray,Family Line,Superache,2022-06-24
short_term,Fleetwood Mac,Dreams - 2004 Remaster,Rumours (Super Deluxe),1977-02-04
short_term,Afroman,Because I Got High,The Good Times,2001-08-28
short_term,Tate McRae,we're not alike,THINK LATER,2023-12-08
short_term,Catfish and the Bottlemen,26,The Balcony,2014-09-15
short_term,Gracie Abrams,minor,minor,2020-07-14
short_term,Noah Kahan,She Calls Me Back,Stick Season,2022-10-14
short_term,Young the Giant,Cough Syrup,Young The Giant (Special Edition),2011
short_term,Wallows,Scrawny,Nothing Happens,2019-03-22
short_term,Catfish and the Bottlemen,Pacifier,The Balcony,2014-09-15
short_term,Vance Joy,Mess Is Mine,Dream Your Life Away (Special Edition),2014-09-09
short_term,Paramore,26,After Laughter,2017-05-12
short_term,Miley Cyrus,High,Plastic Hearts,2020-11-27
short_term,James Arthur,Just Us,Just Us,2023-10-06
short_term,Noah Cyrus,Young & Sad,THE END OF EVERYTHING,2020-05-15
short_term,KALEO,Alter Ego,Surface Sounds,2021-04-23
short_term,5 Seconds of Summer,Youngblood,Youngblood (Deluxe),2018-06-15
short_term,Noah Cyrus,Mr. Percocet,The Hardest Part (Deluxe),2022-12-02
short_term,My Chemical Romance,Sleep,The Black Parade,2006-10-23
short_term,Conan Gray,Crush Culture,Sunset Season,2018-11-16
short_term,Catfish and the Bottlemen,Twice,The Ride,2016-05-27
short_term,Hozier,De Selby (Part 2),Unreal Unearth,2023-08-18
short_term,Billie Eilish,everything i wanted,everything i wanted,2019-11-13
short_term,The Weeknd,I Feel It Coming,Starboy,2016-11-25
short_term,Otis Redding,(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),1968
short_term,Taylor Swift,right where you left me - bonus track,evermore (deluxe version),2021-01-07
short_term,Billie Eilish,idontwannabeyouanymore,dont smile at me,2017-12-22
short_term,Gracie Abrams,Where do we go now?,Good Riddance (Deluxe),2023-06-16
short_term,Tate McRae,exes,THINK LATER,2023-12-08
short_term,Chrisette Michele,All I Ever Think About,Epiphany,2009-01-01
short_term,Fall Out Boy,Beat It,Believers Never Die - Greatest Hits,2009-01-01
short_term,Gracie Abrams,The Bottom,This Is What It Feels Like,2021-11-12
short_term,vaultboy,aftermath,aftermath,2021-09-03
short_term,Young the Giant,Crystallized,Mind Over Matter,2014-01-17
short_term,Hozier,Sunlight,"Wasteland, Baby!",2019-03-01
short_term,Paramore,Idle Worship,After Laughter,2017-05-12
short_term,Tate McRae,run for the hills,THINK LATER,2023-12-08
short_term,Fleetwood Mac,You Make Loving Fun - 2004 Remaster,Rumours (Super Deluxe),1977-02-04
short_term,John Mayer,Dear Marie,Paradise Valley,2013-08-20
short_term,Hozier,Work Song,Hozier (Expanded Edition),2014-09-19
short_term,Gracie Abrams,Rockland,This Is What It Feels Like,2021-11-12
short_term,Jukebox The Ghost,Girl,Jukebox The Ghost,2015-04-07
short_term,Young the Giant,Superposition,Mirror Master,2018-10-12
short_term,Hozier,Nobody,"Wasteland, Baby!",2019-03-01
short_term,Noah Cyrus,Lonely,THE END OF EVERYTHING,2020-05-15
short_term,Night Riots,Back to Your Love,Young Lore,2013-07-30
short_term,Tate McRae,grave,THINK LATER,2023-12-08
short_term,Jukebox The Ghost,Everybody's Lonely,Off To The Races (Deluxe Version),2018-03-30
short_term,My Chemical Romance,The End.,The Black Parade,2006-10-23
short_term,The Black Crowes,Sister Luck,Shake Your Money Maker,1990-02-13
short_term,Sabrina Carpenter,A Nonsense Christmas,fruitcake,2023-11-17
short_term,Gracie Abrams,Block me out,Block me out,2022-04-08
short_term,Hozier,Who We Are,Unreal Unearth,2023-08-18
short_term,Conan Gray,Greek God,Sunset Season,2018-11-16
short_term,John Mayer,In Repair,Continuum,2006-09-11
short_term,My Chemical Romance,House of Wolves,The Black Parade,2006-10-23
short_term,John Mayer,Dreaming with a Broken Heart,Continuum,2006-09-11
short_term,Gracie Abrams,Difficult,Good Riddance (Deluxe),2023-06-16
short_term,Bazzi,Mine,COSMIC,2018-04-12
short_term,Paramore,When It Rains,Riot!,2007-06-11
short_term,Lit,My Own Worst Enemy,A Place In The Sun,1999-02-22
short_term,benny blanco,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,2018-12-07
short_term,My Chemical Romance,Dead!,The Black Parade,2006-10-23
short_term,Paramore,That's What You Get,Riot!,2007-06-11
short_term,Circa Survive,Get Out,Blue Sky Noise (Deluxe - Remastered),2018-08-10
short_term,Bowling For Soup,1985,A Hangover You Don't Deserve,2004
short_term,Paramore,Playing God,Brand New Eyes,2009-09-28
short_term,My Chemical Romance,Cancer,The Black Parade,2006-10-23
short_term,My Chemical Romance,This Is How I Disappear,The Black Parade,2006-10-23
short_term,Young the Giant,Silvertongue,Home of the Strange,2016-08-12
short_term,Paramore,Ain't It Fun,Paramore,2013-04-05
short_term,Paramore,Conspiracy,All We Know Is Falling,2005-07-26
short_term,Miley Cyrus,Prisoner (feat. Dua Lipa),Plastic Hearts,2020-11-27
short_term,Dua Lipa,New Rules,Dua Lipa (Deluxe),2017-06-02
short_term,Young the Giant,Apartment - 2020 Remaster,Young The Giant (10th Anniversary Edition),2010-10-25
short_term,My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,2004-06-08
short_term,All Time Low,"Oh, Calamity!",Don't Panic: It's Longer Now!,2013-09-30
short_term,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),2023-09-15
short_term,Green Day,When I Come Around,Dookie,1994-02-01
short_term,Ghost Atlas,Vertigo,"All Is in Sync, and There's Nothing Left to Sing About",2017-11-17
short_term,Miley Cyrus,Slide Away,SHE IS COMING,2019-05-31
short_term,Fleetwood Mac,Go Your Own Way - 2004 Remaster,Rumours,1977-02-04
short_term,Paramore,Tell Me How,After Laughter,2017-05-12
short_term,Conan Gray,Wish You Were Sober,Kid Krow,2020-03-20
short_term,Drake,Hours In Silence,Her Loss,2022-11-04
short_term,Catfish and the Bottlemen,Outside,The Ride,2016-05-27
short_term,Mumford & Sons,I Will Wait,Babel (Deluxe Version),2012-09-25
short_term,Catfish and the Bottlemen,Tyrants,The Balcony,2014-09-15
short_term,Gerard Way,Brother,Hesitant Alien,2014-08-22
short_term,Sabrina Carpenter,buy me presents,fruitcake,2023-11-17
short_term,The Red Jumpsuit Apparatus,Am I The Enemy,Am I the Enemy,2011-08-29
short_term,Pierce The Veil,Death Of An Executioner,The Jaws Of Life,2023-02-10
short_term,Harry Styles,As It Was,Harry's House,2022-05-20
short_term,Otis Redding,I've Got Dreams to Remember,The Very Best of Otis Redding,1992-11-06
short_term,Noah Cyrus,Hardest Part,The Hardest Part (Deluxe),2022-12-02
short_term,Hozier,Nina Cried Power (feat. Mavis Staples),"Wasteland, Baby!",2019-03-01
short_term,John Mayer,Paper Doll,Paradise Valley,2013-08-20
short_term,My Chemical Romance,Welcome to the Black Parade,The Black Parade,2006-10-23
short_term,Of Monsters and Men,Mountain Sound,My Head Is An Animal,2012-01-01
short_term,My Chemical Romance,Disenchanted,The Black Parade,2006-10-23
short_term,Gracie Abrams,Friend,minor,2020-07-14
short_term,Papa Roach,Scars,Getting Away With Murder,2004-01-01
short_term,Paramore,Ignorance,Brand New Eyes,2009-09-28
short_term,The All-American Rejects,"Swing, Swing",The All-American Rejects,2002-10-15
short_term,The All-American Rejects,It Ends Tonight,Move Along,2005-01-01
short_term,Billie Eilish,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
short_term,Green Day,Basket Case,Dookie,1994-02-01
short_term,Two Door Cinema Club,Undercover Martyn,Tourist History,2010-02-17
short_term,Bowling For Soup,Stacy's Mom,I've Never Done Anything Like This,2011-04-26
short_term,My Chemical Romance,Party Poison,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
short_term,Creed,Higher,Human Clay,1999-01-01
short_term,Conan Gray,People Watching,Superache,2022-06-24
short_term,3 Doors Down,Kryptonite,The Better Life,2000
short_term,All Time Low,Weightless,Nothing Personal (Deluxe Version),2009-07-07
short_term,The Struts,Could Have Been Me,Everybody Wants,2016-03-04
short_term,The All-American Rejects,Dirty Little Secret,Move Along,2005-01-01
short_term,The Weeknd,Wicked Games,House Of Balloons (Original),2011-03-21
short_term,BØRNS,The Emotion,Dopamine,2015-10-16
short_term,Mayday Parade,Jamie All Over,A Lesson In Romantics,2007-07-10
short_term,Neon Trees,Sleeping With A Friend,Pop Psychology,2014-01-01
short_term,Childish Gambino,Redbone,"""Awaken, My Love!""",2016-12-02
short_term,Lil Wayne,She Will,Tha Carter IV (Complete Edition),2011-08-29
short_term,Hozier,Cherry Wine - Live,Hozier,2014-10-07
short_term,Drake,Practice,Take Care (Deluxe),2011-11-15
short_term,Miley Cyrus,Hate Me,Plastic Hearts,2020-11-27
